ICAO,NAME                          ,ST
KPDT,PENDLETON                     ,OR
KPOE,FORT POLK                     ,LA
KPUX,PUEBLO                        ,CO
KRAX,RALEIGH DURHAM                ,NC
KRGX,RENO                          ,NV
KRIW,RIVERTON                      ,WY
KRLX,CHARLESTON                    ,WV
KRTX,PORTLAND                      ,OR
KSFX,POCATELLO                     ,ID
KSGF,SPRINGFIELD                   ,MO
KSHV,SHREVEPORT                    ,LA
KSJT,SAN ANGELO                    ,TX
KSOX,SANTA ANA MOUNTAINS           ,CA
KSRX,FORT SMITH                    ,AR
KTBW,TAMPA                         ,FL
KTFX,GREAT FALLS                   ,MT
KTLH,TALLAHASSEE                   ,FL
KTLX,OKLAHOMA CITY                 ,OK
KTWX,TOPEKA                        ,KS
KTYX,FORT DRUM                     ,NY
KUDX,RAPID CITY                    ,SD
KUEX,HASTINGS                      ,NE
KVAX,MOODY AFB                     ,GA
KVBX,VANDENBERG AFB                ,CA
KVNX,VANCE AFB                     ,OK
KVTX,LOS ANGELES                   ,CA
KVWX,EVANSVILLE                    ,IN
KYUX,YUMA                          ,AZ
LPLA,LAJES AB                      ,
PABC,BETHEL FAA                    ,AK
PACG,SITKA                         ,AK
PAEC,NOME                          ,AK
PAHG,ANCHORAGE                     ,AK
PAIH,MIDDLETON ISLAND              ,AK
PAKC,KING SALMON                   ,AK
PAPD,FAIRBANKS                     ,AK
PGUA,ANDERSEN AFB AGANA            ,GU
PHKI,SOUTH KAUAI                   ,HI
PHKM,KAMUELA                       ,HI
PHMO,MOLOKAI                       ,HI
PHWA,SOUTH SHORE                   ,HI
RKJK,KUNSAN                        ,
RKSG,CAMP HUMPHREYS                ,
RODN,KADENA                        ,
TADW,ANDREWS AFB                   ,MD
TATL,ATLANTA                       ,GA
TBNA,NASHVILLE                     ,TN
TBOS,BOSTON                        ,MA
TBWI,BALTIMORE WASHINGTON          ,MD
TCLT,CHARLOTTE                     ,NC
TCMH,COLUMBUS                      ,OH
TCVG,COVINGTON                     ,KY
TDAL,DALLAS LOVE FIELD             ,TX
TDAY,DAYTON                        ,OH
TDCA,WASHINGTON NATIONAL           ,MD
TDEN,DENVER                        ,CO
TDFW,DALLAS FT WORTH               ,TX
TDTW,DETROIT                       ,MI
TEWR,NEWARK                        ,NJ
TFLL,FT LAUDERDALE                 ,FL
THOU,HOUSTON HOBBY                 ,TX
TIAD,WASHINGTON DULLES             ,VA
TIAH,HOUSTON INTERNATIONAL         ,TX
TICH,WICHITA                       ,KS
TIDS,INDIANAPOLIS                  ,IN
TJBQ,RAFAEL HERNANDEZ AIRPORT      ,PR
TJFK,NEW YORK CITY JFK             ,NY
TJRV,JOSE APONTE DE LA TORRE AIRPOR,PR
TJUA,SAN JUAN                      ,PR
TLAS,LAS VEGAS                     ,NV
TLVE,CLEVELAND                     ,OH
TMCI,KANSAS CITY                   ,MO
TMCO,ORLANDO INTERNATIONAL         ,FL
TMDW,CHICAGO MIDWAY                ,IL
TMEM,MEMPHIS                       ,MS
TMIA,MIAMI                         ,FL
TMKE,MILWAUKEE                     ,WI
TMSP,MINNEAPOLIS                   ,MN
TMSY,NEW ORLEANS                   ,LA
TOKC,NORMAN WFO                    ,OK
TORD,CHICAGO OHARE                 ,IL
TPBI,WEST PALM BEACH               ,FL
TPHL,PHILADELPHIA                  ,NJ
TPHX,PHOENIX                       ,AZ
TPIT,PITTSBURGH                    ,PA
TRDU,RALEIGH                       ,NC
TSDF,LOUISVILLE                    ,KY
TSJU,SAN JUAN                      ,PR
TSLC,SALT LAKE CITY                ,UT
TSTL,ST LOUIS                      ,MO
TTPA,TAMPA                         ,FL
TTUL,TULSA                         ,OK
